Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Source
1379-08-02,Karsiyaka,Turanspor,2,0,H,Turkish_League_Hijri
1379-08-02,Ferikoy,Fenerbahce,2,3,A,Turkish_League_Hijri
1379-08-02,Izmirspor,MKE Ankaragucu,3,0,H,Turkish_League_Hijri
1379-08-05,Vefa,Galatasaray,1,5,A,Turkish_League_Hijri
1379-08-05,Kasimpasa,Fenerbahce,1,4,A,Turkish_League_Hijri
1379-08-08,Kasimpasa,Galatasaray,0,4,A,Turkish_League_Hijri
1379-08-08,Adalet,Beykoz 1908,0,2,A,Turkish_League_Hijri
1379-08-08,MKE Ankaragucu,Genclerbirligi,4,2,H,Turkish_League_Hijri
1379-08-08,Goztepe,Istanbulspor,0,1,A,Turkish_League_Hijri
1379-08-08,Altinordu,Ferikoy,2,1,H,Turkish_League_Hijri
1379-08-08,Ankara Keciorengucu,Turanspor,0,1,A,Turkish_League_Hijri
1379-08-09,Adalet,Kasimpasa,4,1,H,Turkish_League_Hijri
1379-08-09,MKE Ankaragucu,Turanspor,0,4,A,Turkish_League_Hijri
1379-08-09,Goztepe,Ferikoy,2,1,H,Turkish_League_Hijri
1379-08-09,Ankara Keciorengucu,Genclerbirligi,2,2,D,Turkish_League_Hijri
1379-08-09,Vefa,Fenerbahce,0,1,A,Turkish_League_Hijri
1379-08-09,Altinordu,Istanbulspor,0,0,D,Turkish_League_Hijri
1379-08-12,Besiktas,Beykoz 1908,3,0,H,Turkish_League_Hijri
1379-08-12,Vefa,Fatih Karagumruk,1,5,A,Turkish_League_Hijri
1379-08-15,Genclerbirligi,Fatih Karagumruk,3,0,H,Turkish_League_Hijri
1379-08-15,Izmirspor,Adalet,1,0,H,Turkish_League_Hijri
1379-08-15,Ankara Keciorengucu,Galatasaray,1,2,A,Turkish_League_Hijri
1379-08-15,Besiktas,Altay,1,0,H,Turkish_League_Hijri
1379-08-15,Karsiyaka,Beykoz 1908,2,1,H,Turkish_League_Hijri
1379-08-15,Kasimpasa,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1379-08-16,Kasimpasa,Altay,1,1,D,Turkish_League_Hijri
1379-08-16,Ankara Keciorengucu,Fatih Karagumruk,0,4,A,Turkish_League_Hijri
1379-08-16,Izmirspor,Beykoz 1908,4,1,H,Turkish_League_Hijri
