düzeltilmiş_hijri
tsl_dataset;;;;;;
Date;home;visitor;FT;hgoal;vgoal;result
1409-06-21;MKE Ankaragucu;Eskisehirspor;1-2;1;2;A
1409-06-21;Altay;Fenerbahce;0-3;0;3;A
1409-06-21;Sariyer;Konyaspor;2-0;2;0;H
1409-06-28;Adanaspor;Samsunspor;3-0;3;0;H
1409-06-28;Konyaspor;Caykur Rizespor;1-1;1;1;D
1409-06-28;Malatyaspor;Galatasaray;0-0;0;0;D
1409-06-28;Boluspor;Adana Demirspor;0-2;0;2;A
1409-06-28;Bursaspor;Altay;2-0;2;0;H
1409-06-28;Eskisehirspor;Besiktas;0-1;0;1;A
1409-06-28;Fenerbahce;Kahramanmarasspor;4-1;4;1;H
1409-06-28;Karsiyaka;MKE Ankaragucu;2-2;2;2;D
1409-06-28;Sakaryaspor;Trabzonspor;1-0;1;0;H
1409-07-05;Besiktas;Karsiyaka;2-0;2;0;H
1409-07-06;Samsunspor;Fenerbahce;0-3;0;3;A
1409-07-06;Caykur Rizespor;Sariyer;1-3;1;3;A
1409-07-06;Trabzonspor;Malatyaspor;2-0;2;0;H
1409-07-06;Adana Demirspor;Adanaspor;0-3;0;3;A
1409-07-06;Altay;Konyaspor;4-2;4;2;H
1409-07-06;Galatasaray;Boluspor;4-0;4;0;H
1409-07-06;MKE Ankaragucu;Sakaryaspor;0-0;0;0;D
1409-07-06;Kahramanmarasspor;Bursaspor;1-2;1;2;A
1409-07-12;Sariyer;Altay;1-1;1;1;D
1409-07-13;Fenerbahce;Adana Demirspor;6-0;6;0;H
1409-07-13;Boluspor;Trabzonspor;2-0;2;0;H
1409-07-13;Adanaspor;Galatasaray;0-0;0;0;D
1409-07-13;Malatyaspor;MKE Ankaragucu;1-1;1;1;D
1409-07-13;Bursaspor;Samsunspor;3-0;3;0;H
1409-07-13;Sakaryaspor;Besiktas;0-3;0;3;A
1409-07-13;Konyaspor;Kahramanmarasspor;3-0;3;0;H
1409-07-13;Karsiyaka;Eskisehirspor;3-0;3;0;H
1409-07-20;Altay;Caykur Rizespor;3-1;3;1;H
1409-07-20;Samsunspor;Konyaspor;0-3;0;3;A
1409-07-20;Trabzonspor;Adanaspor;2-1;2;1;H
1409-07-20;Adana Demirspor;Bursaspor;2-0;2;0;H
1409-07-20;Kahramanmarasspor;Sariyer;0-1;0;1;A
1409-07-20;Besiktas;Malatyaspor;4-0;4;0;H
1409-07-20;MKE Ankaragucu;Boluspor;1-0;1;0;H
1409-07-20;Eskisehirspor;Sakaryaspor;2-2;2;2;D
1409-07-27;Konyaspor;Adana Demirspor;2-1;2;1;H
1409-07-27;Fenerbahce;Trabzonspor;5-1;5;1;H
1409-07-27;Caykur Rizespor;Kahramanmarasspor;2-0;2;0;H
1409-07-27;Malatyaspor;Eskisehirspor;3-2;3;2;H
1409-07-27;Adanaspor;MKE Ankaragucu;1-0;1;0;H
1409-07-27;Boluspor;Besiktas;1-1;1;1;D
1409-07-27;Bursaspor;Galatasaray;1-0;1;0;H
1409-07-27;Sakaryaspor;Karsiyaka;2-0;2;0;H
1409-07-27;Sariyer;Samsunspor;3-0;3;0;H
1409-08-04;Samsunspor;Caykur Rizespor;0-3;0;3;A
1409-08-04;Kahramanmarasspor;Altay;1-0;1;0;H
1409-08-04;Trabzonspor;Bursaspor;1-1;1;1;D
1409-08-04;Adana Demirspor;Sariyer;1-5;1;5;A
1409-08-04;Besiktas;Adanaspor;4-1;4;1;H
1409-08-04;MKE Ankaragucu;Fenerbahce;1-1;1;1;D
1409-08-04;Eskisehirspor;Boluspor;0-0;0;0;D
1409-08-10;Fenerbahce;Besiktas;2-1;2;1;H
1409-08-11;Altay;Samsunspor;3-0;3;0;H
1409-08-11;Boluspor;Karsiyaka;2-3;2;3;A
1409-08-11;Caykur Rizespor;Adana Demirspor;2-1;2;1;H
1409-08-11;Malatyaspor;Sakaryaspor;3-0;3;0;H
1409-08-11;Adanaspor;Eskisehirspor;4-0;4;0;H
1409-08-11;Bursaspor;MKE Ankaragucu;0-0;0;0;D
1409-08-11;Konyaspor;Trabzonspor;0-1;0;1;A
1409-08-11;Sariyer;Galatasaray;3-1;3;1;H
1409-08-17;Sakaryaspor;Boluspor;1-0;1;0;H
1409-08-17;MKE Ankaragucu;Konyaspor;2-0;2;0;H
1409-08-17;Eskisehirspor;Fenerbahce;2-7;2;7;A
1409-08-17;Trabzonspor;Sariyer;1-0;1;0;H
1409-08-17;Galatasaray;Caykur Rizespor;2-0;2;0;H
1409-08-17;Adana Demirspor;Altay;0-2;0;2;A
1409-08-17;Samsunspor;Kahramanmarasspor;0-3;0;3;A
1409-08-17;Besiktas;Bursaspor;3-2;3;2;H
1409-08-17;Karsiyaka;Adanaspor;1-0;1;0;H
1409-08-24;Sariyer;MKE Ankaragucu;2-2;2;2;D
1409-08-25;Caykur Rizespor;Trabzonspor;0-2;0;2;A
1409-08-25;Adanaspor;Sakaryaspor;3-3;3;3;D
1409-08-25;Boluspor;Malatyaspor;1-0;1;0;H
1409-08-25;Bursaspor;Eskisehirspor;2-1;2;1;H
1409-08-25;Fenerbahce;Karsiyaka;2-0;2;0;H
1409-08-25;Kahramanmarasspor;Adana Demirspor;1-3;1;3;A
1409-08-25;Konyaspor;Besiktas;1-2;1;2;A
1409-09-09;Galatasaray;Kahramanmarasspor;6-0;6;0;H
1409-09-10;Sakaryaspor;Fenerbahce;1-4;1;4;A
1409-09-10;Adana Demirspor;Samsunspor;3-0;3;0;H
1409-09-10;Malatyaspor;Adanaspor;2-3;2;3;A
1409-09-10;Trabzonspor;Altay;1-1;1;1;D
1409-09-10;Besiktas;Sariyer;1-0;1;0;H
1409-09-10;Eskisehirspor;Konyaspor;0-2;0;2;A
1409-09-10;Karsiyaka;Bursaspor;2-2;2;2;D
1409-09-10;MKE Ankaragucu;Caykur Rizespor;2-1;2;1;H
1409-09-16;Sariyer;Eskisehirspor;1-0;1;0;H
1409-09-17;Kahramanmarasspor;Trabzonspor;1-2;1;2;A
1409-09-17;Adanaspor;Boluspor;2-0;2;0;H
1409-09-17;Altay;MKE Ankaragucu;0-1;0;1;A
1409-09-17;Bursaspor;Sakaryaspor;3-0;3;0;H
1409-09-17;Konyaspor;Karsiyaka;1-0;1;0;H
1409-09-17;Caykur Rizespor;Besiktas;1-1;1;1;D
1409-09-17;Samsunspor;Galatasaray;0-3;0;3;A
1409-09-17;Fenerbahce;Malatyaspor;6-1;6;1;H
1409-09-23;Besiktas;Altay;3-0;3;0;H
1409-09-24;Galatasaray;Adana Demirspor;4-1;4;1;H
1409-09-24;Sakaryaspor;Konyaspor;4-2;4;2;H
1409-09-24;MKE Ankaragucu;Kahramanmarasspor;7-0;7;0;H
1409-09-24;Karsiyaka;Sariyer;2-1;2;1;H
1409-09-24;Trabzonspor;Samsunspor;3-0;3;0;H
1409-09-24;Eskisehirspor;Caykur Rizespor;1-0;1;0;H
1409-09-24;Boluspor;Fenerbahce;0-2;0;2;A
1409-09-24;Malatyaspor;Bursaspor;1-0;1;0;H
1409-10-07;Fenerbahce;Adanaspor;1-0;1;0;H
1409-10-08;Altay;Eskisehirspor;1-2;1;2;A
1409-10-08;Adana Demirspor;Trabzonspor;3-1;3;1;H
1409-10-08;Sariyer;Sakaryaspor;3-0;3;0;H
1409-10-08;Samsunspor;MKE Ankaragucu;0-3;0;3;A
1409-10-08;Konyaspor;Malatyaspor;3-3;3;3;D
1409-10-08;Caykur Rizespor;Karsiyaka;1-1;1;1;D
1409-10-08;Bursaspor;Boluspor;1-1;1;1;D
1409-10-08;Kahramanmarasspor;Besiktas;0-3;0;3;A
1409-10-11;Galatasaray;Fenerbahce;1-1;1;1;D
1409-10-11;Karsiyaka;Malatyaspor;1-0;1;0;H
1409-10-15;Besiktas;Samsunspor;3-0;3;0;H
1409-10-15;Adanaspor;Bursaspor;5-0;5;0;H
1409-10-15;Boluspor;Konyaspor;0-1;0;1;A
1409-10-15;Karsiyaka;Altay;1-2;1;2;A
1409-10-15;Malatyaspor;Sariyer;2-2;2;2;D
1409-10-15;MKE Ankaragucu;Adana Demirspor;2-2;2;2;D
1409-10-15;Sakaryaspor;Caykur Rizespor;2-1;2;1;H
1409-10-15;Trabzonspor;Galatasaray;3-2;3;2;H
1409-10-15;Eskisehirspor;Kahramanmarasspor;3-0;3;0;H
1409-10-18;Galatasaray;Konyaspor;3-1;3;1;H
1409-10-21;Sariyer;Boluspor;2-1;2;1;H
1409-10-22;Adana Demirspor;Besiktas;1-1;1;1;D
1409-10-22;Konyaspor;Adanaspor;2-0;2;0;H
1409-10-22;Kahramanmarasspor;Karsiyaka;1-1;1;1;D
1409-10-22;Galatasaray;MKE Ankaragucu;5-2;5;2;H
1409-10-22;Caykur Rizespor;Malatyaspor;2-2;2;2;D
1409-10-22;Bursaspor;Fenerbahce;0-1;0;1;A
1409-10-22;Altay;Sakaryaspor;0-0;0;0;D
1409-10-22;Samsunspor;Eskisehirspor;0-3;0;3;A
1409-10-25;Altay;Galatasaray;0-4;0;4;A
1409-10-28;Fenerbahce;Konyaspor;4-1;4;1;H
1409-10-29;Besiktas;Galatasaray;0-1;0;1;A
1409-10-29;Boluspor;Caykur Rizespor;2-1;2;1;H
1409-10-29;Eskisehirspor;Adana Demirspor;3-2;3;2;H
1409-10-29;Malatyaspor;Altay;3-3;3;3;D
1409-10-29;Sakaryaspor;Kahramanmarasspor;4-1;4;1;H
1409-10-29;Adanaspor;Sariyer;1-4;1;4;A
1409-10-29;MKE Ankaragucu;Trabzonspor;2-0;2;0;H
1409-10-29;Karsiyaka;Samsunspor;3-0;3;0;H
1409-11-06;Konyaspor;Bursaspor;3-1;3;1;H
1409-11-07;Altay;Boluspor;1-1;1;1;D
1409-11-07;Adana Demirspor;Karsiyaka;2-1;2;1;H
1409-11-07;Trabzonspor;Besiktas;2-1;2;1;H
1409-11-07;Sariyer;Fenerbahce;3-4;3;4;A
1409-11-07;Samsunspor;Sakaryaspor;0-3;0;3;A
1409-11-07;Galatasaray;Eskisehirspor;1-0;1;0;H
1409-11-07;Caykur Rizespor;Adanaspor;2-2;2;2;D
1409-11-07;Kahramanmarasspor;Malatyaspor;2-1;2;1;H
1410-01-30;Sariyer;Adana Demirspor;3-2;3;2;H
1410-01-30;Adanaspor;Malatyaspor;3-1;3;1;H
1410-02-01;Samsunspor;Galatasaray;1-0;1;0;H
1410-02-01;Trabzonspor;Karsiyaka;1-0;1;0;H
1410-02-01;Altay;Fenerbahce;2-1;2;1;H
1410-02-01;Besiktas;Boluspor;3-0;3;0;H
1410-02-01;Bursaspor;MKE Ankaragucu;0-0;0;0;D
1410-02-01;Konyaspor;Zeytinburnuspor;2-1;2;1;H
1410-02-01;Genclerbirligi;Sakaryaspor;3-2;3;2;H
1410-02-07;Fenerbahce;Genclerbirligi;3-1;3;1;H
1410-02-07;Besiktas;Bursaspor;1-0;1;0;H
1410-02-07;Adana Demirspor;Galatasaray;1-0;1;0;H
1410-02-08;Karsiyaka;Sariyer;3-1;3;1;H
1410-02-08;Malatyaspor;Altay;1-1;1;1;D
1410-02-08;MKE Ankaragucu;Trabzonspor;0-0;0;0;D
1410-02-08;Sakaryaspor;Konyaspor;0-1;0;1;A
1410-02-08;Zeytinburnuspor;Samsunspor;4-2;4;2;H
1410-02-08;Boluspor;Adanaspor;0-0;0;0;D
1410-02-21;Trabzonspor;Besiktas;2-1;2;1;H
1410-02-21;Konyaspor;Fenerbahce;0-1;0;1;A
1410-02-21;Galatasaray;Karsiyaka;2-1;2;1;H
1410-02-22;Samsunspor;Adana Demirspor;3-0;3;0;H
1410-02-22;Adanaspor;Bursaspor;1-1;1;1;D
1410-02-22;Altay;Boluspor;1-1;1;1;D
1410-02-22;Genclerbirligi;Malatyaspor;2-2;2;2;D
1410-02-22;Sariyer;MKE Ankaragucu;1-2;1;2;A
1410-02-22;Zeytinburnuspor;Sakaryaspor;0-1;0;1;A
1410-02-29;Besiktas;Sariyer;0-2;0;2;A
1410-02-29;Bursaspor;Altay;1-1;1;1;D
1410-02-29;Fenerbahce;Zeytinburnuspor;2-0;2;0;H
1410-02-29;Karsiyaka;Adana Demirspor;1-0;1;0;H
1410-02-29;MKE Ankaragucu;Galatasaray;0-1;0;1;A
1410-02-29;Sakaryaspor;Samsunspor;0-0;0;0;D
1410-02-29;Boluspor;Genclerbirligi;1-2;1;2;A
1410-02-29;Adanaspor;Trabzonspor;1-2;1;2;A
1410-02-29;Malatyaspor;Konyaspor;2-1;2;1;H
1410-03-06;Galatasaray;Besiktas;0-0;0;0;D
1410-03-07;Altay;Trabzonspor;1-3;1;3;A
1410-03-07;Adana Demirspor;MKE Ankaragucu;1-1;1;1;D
1410-03-07;Konyaspor;Boluspor;3-0;3;0;H
1410-03-07;Sakaryaspor;Fenerbahce;0-3;0;3;A
1410-03-07;Samsunspor;Karsiyaka;1-0;1;0;H
1410-03-07;Sariyer;Adanaspor;3-1;3;1;H
1410-03-07;Zeytinburnuspor;Malatyaspor;1-0;1;0;H
1410-03-07;Genclerbirligi;Bursaspor;3-1;3;1;H
1410-03-13;Adanaspor;Galatasaray;1-0;1;0;H
1410-03-14;Malatyaspor;Sakaryaspor;1-0;1;0;H
1410-03-14;Altay;Sariyer;0-0;0;0;D
1410-03-14;Besiktas;Adana Demirspor;10-0;10;0;H
1410-03-14;Boluspor;Zeytinburnuspor;0-2;0;2;A
1410-03-14;Bursaspor;Konyaspor;2-1;2;1;H
1410-03-14;Fenerbahce;Samsunspor;1-0;1;0;H
1410-03-14;MKE Ankaragucu;Karsiyaka;1-0;1;0;H
1410-03-14;Trabzonspor;Genclerbirligi;6-1;6;1;H
1410-03-27;Karsiyaka;Besiktas;1-4;1;4;A
1410-03-27;Fenerbahce;Malatyaspor;3-1;3;1;H
1410-03-28;Adana Demirspor;Adanaspor;2-3;2;3;A
1410-03-28;Galatasaray;Altay;1-2;1;2;A
1410-03-28;Genclerbirligi;Sariyer;1-1;1;1;D
1410-03-28;Konyaspor;Trabzonspor;0-1;0;1;A
1410-03-28;Sakaryaspor;Boluspor;2-3;2;3;A
1410-03-28;Samsunspor;MKE Ankaragucu;0-1;0;1;A
1410-03-28;Zeytinburnuspor;Bursaspor;2-0;2;0;H
1410-04-18;Sariyer;Konyaspor;0-0;0;0;D
1410-04-19;Bursaspor;Sakaryaspor;4-1;4;1;H
1410-04-19;Genclerbirligi;Galatasaray;1-1;1;1;D
1410-04-19;Boluspor;Fenerbahce;1-0;1;0;H
1410-04-19;Trabzonspor;Zeytinburnuspor;1-1;1;1;D
1410-04-19;Adanaspor;Karsiyaka;2-2;2;2;D
1410-04-19;Altay;Adana Demirspor;2-2;2;2;D
1410-04-19;Besiktas;MKE Ankaragucu;1-0;1;0;H
1410-04-19;Malatyaspor;Samsunspor;3-0;3;0;H
1410-04-25;Galatasaray;Konyaspor;4-0;4;0;H
1410-04-26;Sakaryaspor;Trabzonspor;2-2;2;2;D
1410-04-26;Fenerbahce;Bursaspor;2-2;2;2;D
1410-04-26;Zeytinburnuspor;Sariyer;0-2;0;2;A
1410-04-26;MKE Ankaragucu;Adanaspor;2-2;2;2;D
1410-04-26;Adana Demirspor;Genclerbirligi;1-1;1;1;D
1410-04-26;Malatyaspor;Boluspor;1-1;1;1;D
1410-04-26;Samsunspor;Besiktas;1-3;1;3;A
1410-04-26;Karsiyaka;Altay;5-1;5;1;H
1410-05-03;Sariyer;Sakaryaspor;1-1;1;1;D
1410-05-04;Adanaspor;Besiktas;1-1;1;1;D
1410-05-04;Boluspor;Samsunspor;2-1;2;1;H
1410-05-04;Bursaspor;Malatyaspor;1-0;1;0;H
1410-05-04;Genclerbirligi;Karsiyaka;3-2;3;2;H
1410-05-04;Konyaspor;Adana Demirspor;1-1;1;1;D
1410-05-04;Altay;MKE Ankaragucu;0-0;0;0;D
1410-05-04;Galatasaray;Zeytinburnuspor;2-2;2;2;D
1410-05-04;Trabzonspor;Fenerbahce;3-2;3;2;H
1410-05-10;Besiktas;Altay;1-0;1;0;H
1410-05-10;Sakaryaspor;Galatasaray;0-4;0;4;A
1410-05-11;Fenerbahce;Sariyer;5-2;5;2;H
1410-05-11;Malatyaspor;Trabzonspor;2-1;2;1;H
1410-05-11;Boluspor;Bursaspor;1-0;1;0;H
1410-05-11;MKE Ankaragucu;Genclerbirligi;2-0;2;0;H
1410-05-11;Adana Demirspor;Zeytinburnuspor;2-1;2;1;H
1410-05-11;Karsiyaka;Konyaspor;5-1;5;1;H
1410-05-11;Samsunspor;Adanaspor;1-1;1;1;D
1410-05-17;Galatasaray;Fenerbahce;1-0;1;0;H
1410-05-18;Altay;Adanaspor;0-2;0;2;A
1410-05-18;Zeytinburnuspor;Karsiyaka;0-1;0;1;A
1410-05-18;Konyaspor;MKE Ankaragucu;4-1;4;1;H
1410-05-18;Bursaspor;Samsunspor;4-0;4;0;H
1410-05-18;Genclerbirligi;Besiktas;1-1;1;1;D
1410-05-18;Sariyer;Malatyaspor;2-2;2;2;D
1410-05-18;Trabzonspor;Boluspor;1-1;1;1;D
1410-05-18;Adana Demirspor;Sakaryaspor;2-1;2;1;H
1410-05-24;Bursaspor;Trabzonspor;1-1;1;1;D
1410-05-24;Besiktas;Konyaspor;2-1;2;1;H
1410-05-25;Malatyaspor;Galatasaray;0-4;0;4;A
1410-05-25;Samsunspor;Altay;1-0;1;0;H
1410-05-25;MKE Ankaragucu;Zeytinburnuspor;2-0;2;0;H
1410-05-25;Adanaspor;Genclerbirligi;3-0;3;0;H
1410-05-25;Fenerbahce;Adana Demirspor;3-1;3;1;H
1410-05-25;Boluspor;Sariyer;0-0;0;0;D
1410-05-25;Karsiyaka;Sakaryaspor;3-2;3;2;H
1410-05-28;Adana Demirspor;Malatyaspor;1-0;1;0;H
1410-05-28;Trabzonspor;Samsunspor;2-0;2;0;H
1410-05-28;Genclerbirligi;Altay;0-2;0;2;A
1410-05-28;Konyaspor;Adanaspor;2-1;2;1;H
1410-05-28;Sakaryaspor;MKE Ankaragucu;1-2;1;2;A
1410-05-28;Sariyer;Bursaspor;1-2;1;2;A
1410-05-28;Zeytinburnuspor;Besiktas;0-2;0;2;A
1410-05-28;Galatasaray;Boluspor;2-0;2;0;H
1410-05-29;Karsiyaka;Fenerbahce;1-2;1;2;A
1410-06-01;Trabzonspor;Sariyer;2-0;2;0;H
1410-06-01;Boluspor;Adana Demirspor;1-0;1;0;H
1410-06-01;Altay;Konyaspor;3-2;3;2;H
1410-06-01;Bursaspor;Galatasaray;2-1;2;1;H
1410-06-01;Samsunspor;Genclerbirligi;0-0;0;0;D
1410-06-01;Adanaspor;Zeytinburnuspor;0-3;0;3;A
1410-06-01;Besiktas;Sakaryaspor;7-0;7;0;H
1410-06-02;Malatyaspor;Karsiyaka;2-0;2;0;H
1410-06-02;MKE Ankaragucu;Fenerbahce;0-1;0;1;A
1410-06-08;Fenerbahce;Besiktas;1-5;1;5;A
1410-06-09;Adana Demirspor;Bursaspor;1-1;1;1;D
1410-06-09;Galatasaray;Trabzonspor;2-1;2;1;H
1410-06-09;Karsiyaka;Boluspor;3-4;3;4;A
1410-06-09;Konyaspor;Genclerbirligi;0-0;0;0;D
1410-06-09;MKE Ankaragucu;Malatyaspor;1-2;1;2;A
1410-06-09;Sariyer;Samsunspor;5-0;5;0;H
1410-06-09;Zeytinburnuspor;Altay;3-1;3;1;H
1410-06-09;Sakaryaspor;Adanaspor;1-2;1;2;A
1410-06-15;Sariyer;Galatasaray;0-2;0;2;A
1410-06-16;Samsunspor;Konyaspor;2-0;2;0;H
1410-06-16;Trabzonspor;Adana Demirspor;4-1;4;1;H
1410-06-16;Adanaspor;Fenerbahce;1-4;1;4;A
1410-06-16;Altay;Sakaryaspor;1-2;1;2;A
1410-06-16;Besiktas;Malatyaspor;3-1;3;1;H
1410-06-16;Boluspor;MKE Ankaragucu;1-1;1;1;D
1410-06-16;Bursaspor;Karsiyaka;1-0;1;0;H
1410-06-16;Genclerbirligi;Zeytinburnuspor;0-0;0;0;D
1410-07-08;Sakaryaspor;Genclerbirligi;1-3;1;3;A
1410-07-08;Boluspor;Besiktas;1-5;1;5;A
1410-07-08;Adana Demirspor;Sariyer;0-3;0;3;A
1410-07-08;Zeytinburnuspor;Konyaspor;1-2;1;2;A
1410-07-08;MKE Ankaragucu;Bursaspor;1-0;1;0;H
1410-07-08;Malatyaspor;Adanaspor;2-3;2;3;A
1410-07-08;Galatasaray;Samsunspor;2-1;2;1;H
1410-07-08;Karsiyaka;Trabzonspor;1-1;1;1;D
1410-07-08;Fenerbahce;Altay;2-2;2;2;D
1410-07-14;Bursaspor;Besiktas;1-1;1;1;D
1410-07-15;Samsunspor;Zeytinburnuspor;0-0;0;0;D
1410-07-15;Konyaspor;Sakaryaspor;2-0;2;0;H
1410-07-15;Sariyer;Karsiyaka;3-2;3;2;H
1410-07-15;Altay;Malatyaspor;2-1;2;1;H
1410-07-15;Adanaspor;Boluspor;2-0;2;0;H
1410-07-15;Trabzonspor;MKE Ankaragucu;2-0;2;0;H
1410-07-15;Galatasaray;Adana Demirspor;3-0;3;0;H
1410-07-15;Genclerbirligi;Fenerbahce;0-2;0;2;A
1410-07-22;Adana Demirspor;Samsunspor;1-0;1;0;H
1410-07-22;Besiktas;Trabzonspor;1-0;1;0;H
1410-07-22;Bursaspor;Adanaspor;2-1;2;1;H
1410-07-22;Fenerbahce;Konyaspor;2-0;2;0;H
1410-07-22;Karsiyaka;Galatasaray;1-2;1;2;A
1410-07-22;MKE Ankaragucu;Sariyer;3-4;3;4;A
1410-07-22;Sakaryaspor;Zeytinburnuspor;1-1;1;1;D
1410-07-22;Boluspor;Altay;3-1;3;1;H
1410-07-24;Malatyaspor;Genclerbirligi;4-3;4;3;H
1410-07-25;Adana Demirspor;Karsiyaka;1-2;1;2;A
1410-07-25;Trabzonspor;Adanaspor;4-1;4;1;H
1410-07-25;Samsunspor;Sakaryaspor;0-1;0;1;A
1410-07-25;Sariyer;Besiktas;1-0;1;0;H
1410-07-25;Zeytinburnuspor;Fenerbahce;1-2;1;2;A
1410-07-25;Galatasaray;MKE Ankaragucu;2-0;2;0;H
1410-07-25;Altay;Bursaspor;4-1;4;1;H
1410-07-29;Trabzonspor;Altay;2-0;2;0;H
1410-07-29;Malatyaspor;Zeytinburnuspor;1-0;1;0;H
1410-07-29;Adanaspor;Sariyer;0-0;0;0;D
1410-07-29;Besiktas;Galatasaray;1-0;1;0;H
1410-07-29;Boluspor;Konyaspor;0-0;0;0;D
1410-07-29;Bursaspor;Genclerbirligi;1-2;1;2;A
1410-07-29;Fenerbahce;Sakaryaspor;2-2;2;2;D
1410-07-29;Karsiyaka;Samsunspor;1-0;1;0;H
1410-07-29;MKE Ankaragucu;Adana Demirspor;1-0;1;0;H
1410-08-02;Konyaspor;Malatyaspor;1-0;1;0;H
1410-08-02;Genclerbirligi;Boluspor;0-0;0;0;D
1410-08-06;Genclerbirligi;Trabzonspor;0-4;0;4;A
1410-08-06;Adana Demirspor;Besiktas;1-1;1;1;D
1410-08-06;Konyaspor;Bursaspor;2-1;2;1;H
1410-08-06;Sakaryaspor;Malatyaspor;2-2;2;2;D
1410-08-06;Samsunspor;Fenerbahce;1-2;1;2;A
1410-08-06;Sariyer;Altay;1-0;1;0;H
1410-08-06;Zeytinburnuspor;Boluspor;1-0;1;0;H
1410-08-06;Karsiyaka;MKE Ankaragucu;1-1;1;1;D
1410-08-06;Galatasaray;Adanaspor;5-0;5;0;H
1410-08-13;Malatyaspor;Fenerbahce;0-1;0;1;A
1410-08-13;Trabzonspor;Konyaspor;3-2;3;2;H
1410-08-13;Adanaspor;Adana Demirspor;3-3;3;3;D
1410-08-13;Besiktas;Karsiyaka;4-0;4;0;H
1410-08-13;Boluspor;Sakaryaspor;2-1;2;1;H
1410-08-13;Bursaspor;Zeytinburnuspor;4-1;4;1;H
1410-08-13;MKE Ankaragucu;Samsunspor;1-2;1;2;A
1410-08-13;Sariyer;Genclerbirligi;2-2;2;2;D
1410-08-13;Altay;Galatasaray;0-2;0;2;A
1410-08-19;Adana Demirspor;Altay;2-2;2;2;D
1410-08-19;Fenerbahce;Boluspor;2-0;2;0;H
1410-08-20;Zeytinburnuspor;Trabzonspor;0-0;0;0;D
1410-08-20;Samsunspor;Malatyaspor;1-1;1;1;D
1410-08-20;Sakaryaspor;Bursaspor;0-1;0;1;A
1410-08-20;Konyaspor;Sariyer;1-1;1;1;D
1410-08-20;Galatasaray;Genclerbirligi;1-1;1;1;D
1410-08-20;MKE Ankaragucu;Besiktas;1-0;1;0;H
1410-08-20;Karsiyaka;Adanaspor;2-1;2;1;H
1410-08-26;Altay;Karsiyaka;1-0;1;0;H
1410-08-27;Trabzonspor;Sakaryaspor;3-1;3;1;H
1410-08-27;Adanaspor;MKE Ankaragucu;0-1;0;1;A
1410-08-27;Besiktas;Samsunspor;1-0;1;0;H
1410-08-27;Boluspor;Malatyaspor;0-2;0;2;A
1410-08-27;Bursaspor;Fenerbahce;3-2;3;2;H
1410-08-27;Konyaspor;Galatasaray;0-1;0;1;A
1410-08-27;Sariyer;Zeytinburnuspor;1-2;1;2;A
1410-08-27;Genclerbirligi;Adana Demirspor;7-0;7;0;H
1410-09-04;Fenerbahce;Trabzonspor;1-0;1;0;H
1410-09-05;Adana Demirspor;Konyaspor;1-5;1;5;A
1410-09-05;Besiktas;Adanaspor;3-0;3;0;H
1410-09-05;Karsiyaka;Genclerbirligi;1-5;1;5;A
1410-09-05;MKE Ankaragucu;Altay;0-2;0;2;A
1410-09-05;Sakaryaspor;Sariyer;0-2;0;2;A
1410-09-05;Samsunspor;Boluspor;1-1;1;1;D
1410-09-05;Zeytinburnuspor;Galatasaray;0-2;0;2;A
1410-09-05;Malatyaspor;Bursaspor;1-0;1;0;H
1410-09-11;Genclerbirligi;MKE Ankaragucu;0-1;0;1;A
1410-09-12;Trabzonspor;Malatyaspor;1-0;1;0;H
1410-09-12;Altay;Besiktas;1-3;1;3;A
1410-09-12;Bursaspor;Boluspor;1-1;1;1;D
1410-09-12;Galatasaray;Sakaryaspor;5-1;5;1;H
1410-09-12;Konyaspor;Karsiyaka;0-2;0;2;A
1410-09-12;Sariyer;Fenerbahce;2-1;2;1;H
1410-09-12;Zeytinburnuspor;Adana Demirspor;4-1;4;1;H
1410-09-12;Adanaspor;Samsunspor;3-0;3;0;H
1410-09-19;Malatyaspor;Sariyer;1-1;1;1;D
1410-09-19;Adanaspor;Altay;3-1;3;1;H
1410-09-19;Besiktas;Genclerbirligi;2-0;2;0;H
1410-09-19;Boluspor;Trabzonspor;0-0;0;0;D
1410-09-19;MKE Ankaragucu;Konyaspor;0-1;0;1;A
1410-09-19;Sakaryaspor;Adana Demirspor;2-1;2;1;H
1410-09-19;Samsunspor;Bursaspor;1-2;1;2;A
1410-09-19;Fenerbahce;Galatasaray;5-1;5;1;H
1410-09-19;Karsiyaka;Zeytinburnuspor;2-0;2;0;H
1410-09-26;Adana Demirspor;Fenerbahce;1-3;1;3;A
1410-09-26;Altay;Samsunspor;3-1;3;1;H
1410-09-26;Galatasaray;Malatyaspor;0-0;0;0;D
1410-09-26;Konyaspor;Besiktas;0-0;0;0;D
1410-09-26;Sakaryaspor;Karsiyaka;0-1;0;1;A
1410-09-26;Sariyer;Boluspor;1-0;1;0;H
1410-09-26;Zeytinburnuspor;MKE Ankaragucu;3-0;3;0;H
1410-09-26;Genclerbirligi;Adanaspor;2-0;2;0;H
1410-09-26;Trabzonspor;Bursaspor;3-1;3;1;H
1410-10-03;Samsunspor;Trabzonspor;2-0;2;0;H
1410-10-03;MKE Ankaragucu;Sakaryaspor;1-0;1;0;H
1410-10-03;Fenerbahce;Karsiyaka;3-0;3;0;H
1410-10-03;Besiktas;Zeytinburnuspor;3-0;3;0;H
